Domain,Federal Agency,Level of Government,Location,Status,Note,Link,Date Added,Sector
ncair.org,,State Government,North Carolina,accepted term,North Carolina Division of Air Quality -- Note added 3/20/14 15:16,http://ncair.org/,6/6/13 18:08,north carolina
ncalb.org,,State Government,North Carolina,accepted term,The North Carolina Auctioneers board -- Note added 9/11/15 20:32,http://ncalb.org/,6/6/13 18:08,north carolina
ncappellatecourts.org,,State Government,North Carolina,accepted term,NC Court System  -- Note added 9/11/15 20:32,http://www.nccourts.org/courts/appellate/appeal/,6/6/13 18:08,nc court
ncappraisalboard.org,,State Government,North Carolina,accepted term,NC appraisal board -- Note added 9/11/15 20:33,http://ncappraisalboard.org/,6/6/13 18:08,board note
ncapt.tv,,State Government,North Carolina,accepted term,NC Triangle Public Access TV n  n  -- Note added 9/11/15 20:35,http://comm.unc.edu/undergraduate-studies/swain-lab-info/public-access-tv-stations-in-the-triangle-area-of-nc/,6/6/13 18:08,n note
ncaquariums.com,,State Government,North Carolina,accepted term,NC Aquariums -- Note added 9/11/15 20:35,http://www.ncaquariums.com/,6/6/13 18:08,note added
ncartmuseum.org,,State Government,North Carolina,accepted term,NC Museum of Art -- Note added 9/11/15 20:36,http://ncartmuseum.org/,6/6/13 18:08,nc museum
ncarts.org,,State Government,North Carolina,accepted term,North Carolina Arts Council -- Note added 11/20/13 12:24,http://ncarts.org/,6/6/13 18:08,north carolina
ncatp.org,,State Government,North Carolina,accepted term,"NC Assistive technology Program - Receives grant funding under Public Law 108-364  through the Rehabilitation Services Administration, U.S. Department of Education, and is administered by the N.C. Department of Health and Human Services, Division of Vocational Rehabilitation Services -- Note added 11/12/15 15:02",http://ncatp.org/,6/6/13 18:08,assistive technology
ncauditor.net,,State Government,North Carolina,accepted term,NC Office of the State Auditor -- Note added 1/14/14 13:12,http://www.ncauditor.net/pub4/,6/6/13 18:08,nc office
ncbarch.org,,State Government,North Carolina,accepted term,North Carolina Board of Architecture -- Note added 9/11/15 20:37,http://ncbarch.org/,6/6/13 18:08,north carolina
ncbate.org,,State Government,North Carolina,accepted term,NC Board of Athletic Trainers Examiners -- Note added 9/11/15 20:38,http://www.ncbate.org/,6/6/13 18:08,nc board
ncbdn.org,,State Government,North Carolina,accepted term,North Carolina Board of Dietetics/Nutrition   -- Note added 9/11/15 20:38,http://www.ncbdn.org/,6/6/13 18:08,north carolina
ncbeec.org,,State Government,North Carolina,accepted term,NC Board of Examiners of electrical contractors -- Note added 9/11/15 20:39,http://www.ncbeec.org/,6/6/13 18:08,nc board
ncbels.org,,State Government,North Carolina,accepted term,NC Board of Examiners for engineers and surveyors -- Note added 9/11/15 20:40,http://ncbels.org/,6/6/13 18:08,nc board
ncbenha.org,,State Government,North Carolina,accepted term,NC Board of Nursing Homes Administrators -- Note added 9/11/15 20:41,http://ncbenha.org/index.html,6/6/13 18:08,nc board
ncbfs.org,,State Government,North Carolina,accepted term,NC Board of Funeral Services -- Note added 9/11/15 20:41,http://ncbfs.org/,6/6/13 18:08,nc board
ncble.org,,State Government,North Carolina,accepted term,NC Board of Law Examiners -- Note added 9/14/15 20:44,https://ncble.org/,6/6/13 18:08,nc board
ncblg.org,,State Government,North Carolina,accepted term,The North Carolina Board for the Licensing of Geologists  -- Note added 9/14/15 20:27,http://www.ncblg.org/,6/6/13 18:08,north carolina
ncblpc.org,,State Government,North Carolina,accepted term,The North Carolina Board of Licensed Professional Counselors -- Note added 9/14/15 20:28,http://www.ncblpc.org/,6/6/13 18:08,north carolina
